Roger Williams,TX
K. Conaway,TX
Marc Veasey,TX
Filemon Vela,TX
Randy Neugebauer,TX
Jeb Hensarling,TX
John Carter,TX
Pete Sessions,TX
Michael Burgess,TX
Mac Thornberry,TX
Kevin Brady,TX
Rubén Hinojosa,TX
Ted Cruz,TX
Orrin Hatch,UT
Mike Lee,UT
Mia Love,UT
Rob Bishop,UT
Jason Chaffetz,UT
Chris Stewart,UT
H. Griffith,VA
Timothy Kaine,VA
J. Forbes,VA
Bob Goodlatte,VA
Barbara Comstock,VA
Donald Beyer,VA
Mark Warner,VA
David Brat,VA
Gerald Connolly,VA
Robert Hurt,VA
Robert Wittman,VA
Robert Scott,VA
Edward Rigell,VA
Stacey Plaskett,VI
Bernard Sanders,VT
Peter Welch,VT
Patrick Leahy,VT
Jaime Herrera Beutler,WA
David Reichert,WA
Cathy McMorris Rodgers,WA
Patty Murray,WA
Jim McDermott,WA
Derek Kilmer,WA
Denny Heck,WA
Rick Larsen,WA
Dan Newhouse,WA
Maria Cantwell,WA
Suzan DelBene,WA
Adam Smith,WA
Ron Johnson,WI
Sean Duffy,WI
Glenn Grothman,WI
Mark Pocan,WI
F. Sensenbrenner,WI
Tammy Baldwin,WI
Ron Kind,WI
Paul Ryan,WI
Reid Ribble,WI
Gwen Moore,WI
Evan Jenkins,WV
Joe Manchin,WV
Shelley Capito,WV
David McKinley,WV
Alex Mooney,WV
Cynthia Lummis,WY
John Barrasso,WY
Michael Enzi,WY
 undefined,undefined
