Pallone Frank,Pallone,Frank,NJ
MacArthur Tom,MacArthur,Tom,NJ
Booker Cory,Booker,Cory,NJ
Sires Albio,Sires,Albio,NJ
LoBiondo Frank,LoBiondo,Frank,NJ
Watson Coleman Bonnie,Watson Coleman,Bonnie,NJ
Garrett Scott,Garrett,Scott,NJ
Payne Donald,Payne,Donald,NJ
Menéndez Robert,Menéndez,Robert,NJ
Lance Leonard,Lance,Leonard,NJ
Smith Christopher,Smith,Christopher,NJ
Norcross Donald,Norcross,Donald,NJ
Frelinghuysen Rodney,Frelinghuysen,Rodney,NJ
Lujan Grisham Michelle,Lujan Grisham,Michelle,NM
Heinrich Martin,Heinrich,Martin,NM
Udall Tom,Udall,Tom,NM
Pearce Stevan,Pearce,Stevan,NM
Luján Ben,Luján,Ben,NM
Heller Dean,Heller,Dean,NV
Titus Dina,Titus,Dina,NV
Heck Joseph,Heck,Joseph,NV
Reid Harry,Reid,Harry,NV
Hardy Cresent,Hardy,Cresent,NV
Amodei Mark,Amodei,Mark,NV
Serrano José,Serrano José,undefined,NY
Rice Kathleen,Rice,Kathleen,NY
Meng Grace,Meng,Grace,NY
Slaughter Louise,Slaughter,Louise,NY
King Peter,King,Peter,NY
Maloney Sean,Maloney,Sean,NY
Collins Chris,Collins,Chris,NY
Crowley Joseph,Crowley,Joseph,NY
Israel Steve,Israel,Steve,NY
Stefanik Elise,Stefanik,Elise,NY
Nadler Jerrold,Nadler,Jerrold,NY
Katko John,Katko,John,NY
Higgins Brian,Higgins,Brian,NY
Clarke Yvette,Clarke,Yvette,NY
Meeks Gregory,Meeks,Gregory,NY
Tonko Paul,Tonko,Paul,NY
Hanna Richard,Hanna,Richard,NY
Maloney Carolyn,Maloney,Carolyn,NY
Gillibrand Kirsten,Gillibrand,Kirsten,NY
Donovan Daniel,Donovan,Daniel,NY
Zeldin Lee,Zeldin,Lee,NY
Lowey Nita,Lowey,Nita,NY
Schumer Charles,Schumer,Charles,NY
Gibson Christopher,Gibson,Christopher,NY
Reed Tom,Reed,Tom,NY
Jeffries Hakeem,Jeffries,Hakeem,NY
Engel Eliot,Engel,Eliot,NY
Rangel Charles,Rangel,Charles,NY
Velázquez Nydia,Velázquez,Nydia,NY
Ryan Tim,Ryan,Tim,OH
Gibbs Bob,Gibbs,Bob,OH
Stivers Steve,Stivers,Steve,OH
Johnson Bill,Johnson,Bill,OH
Beatty Joyce,Beatty,Joyce,OH
Chabot Steve,Chabot,Steve,OH
Latta Robert,Latta,Robert,OH
Wenstrup Brad,Wenstrup,Brad,OH
Renacci James,Renacci,James,OH
Brown Sherrod,Brown,Sherrod,OH
Tiberi Patrick,Tiberi,Patrick,OH
Fudge Marcia,Fudge,Marcia,OH
Jordan Jim,Jordan,Jim,OH
Portman Robert,Portman,Robert,OH
Kaptur Marcy,Kaptur,Marcy,OH
Turner Michael,Turner,Michael,OH
Joyce David,Joyce,David,OH
Russell Steve,Russell,Steve,OK
Cole Tom,Cole,Tom,OK
Lucas Frank,Lucas,Frank,OK
Lankford James,Lankford,James,OK
Inhofe James,Inhofe,James,OK
Bridenstine Jim,Bridenstine,Jim,OK
Mullin Markwayne,Mullin,Markwayne,OK
Walden Greg,Walden,Greg,OR
Schrader Kurt,Schrader,Kurt,OR
Bonamici Suzanne,Bonamici,Suzanne,OR
DeFazio Peter,DeFazio,Peter,OR
Merkley Jeff,Merkley,Jeff,OR
Blumenauer Earl,Blumenauer,Earl,OR
Wyden Ron,Wyden,Ron,OR
Doyle Michael,Doyle,Michael,PA
Fattah Chaka,Fattah,Chaka,PA
Murphy Tim,Murphy,Tim,PA
Fitzpatrick Michael,Fitzpatrick,Michael,PA
Costello Ryan,Costello,Ryan,PA
Meehan Patrick,Meehan,Patrick,PA
Barletta Lou,Barletta,Lou,PA
Marino Tom,Marino,Tom,PA
Thompson Glenn,Thompson,Glenn,PA
Shuster Bill,Shuster,Bill,PA
Casey Robert,Casey,Robert,PA
Perry Scott,Perry,Scott,PA
Toomey Patrick,Toomey,Patrick,PA
Brady Robert,Brady,Robert,PA
Kelly Mike,Kelly,Mike,PA
Dent Charles,Dent,Charles,PA
Boyle Brendan,Boyle,Brendan,PA
Pitts Joseph,Pitts,Joseph,PA
Rothfus Keith,Rothfus,Keith,PA
Cartwright Matthew,Cartwright,Matthew,PA
Pierluisi Pedro,Pierluisi,Pedro,PR
Langevin James,Langevin,James,RI
Cicilline David,Cicilline,David,RI
Reed John,Reed,John,RI
Whitehouse Sheldon,Whitehouse,Sheldon,RI
Mulvaney Mick,Mulvaney,Mick,SC
Gowdy Trey,Gowdy,Trey,SC
Sanford Marshall,Sanford,Marshall,SC
Graham Lindsey,Graham,Lindsey,SC
Clyburn James,Clyburn,James,SC
Wilson Joe,Wilson,Joe,SC
Duncan Jeff,Duncan,Jeff,SC
Rice Tom,Rice,Tom,SC
Scott Tim,Scott,Tim,SC
Noem Kristi,Noem,Kristi,SD
Rounds Mike,Rounds,Mike,SD
Thune John,Thune,John,SD
DesJarlais Scott,DesJarlais,Scott,TN
Roe David,Roe,David,TN
Corker Bob,Corker,Bob,TN
Cooper Jim,Cooper,Jim,TN
Alexander Lamar,Alexander,Lamar,TN
Cohen Steve,Cohen,Steve,TN
Fleischmann Charles,Fleischmann,Charles,TN
Blackburn Marsha,Blackburn,Marsha,TN
Black Diane,Black,Diane,TN
Fincher Stephen,Fincher,Stephen,TN
Duncan John,Duncan,John,TN
Poe Ted,Poe,Ted,TX
Johnson Sam,Johnson,Sam,TX
Green Gene,Green,Gene,TX
Green Al,Green,Al,TX
Cornyn John,Cornyn,John,TX
Granger Kay,Granger,Kay,TX
Johnson Eddie,Johnson,Eddie,TX
Jackson Lee Sheila,Jackson Lee,Sheila,TX
Gohmert Louie,Gohmert,Louie,TX
Barton Joe,Barton,Joe,TX
Flores Bill,Flores,Bill,TX
Hurd Will,Hurd,Will,TX
McCaul Michael,McCaul,Michael,TX
Ratcliffe John,Ratcliffe,John,TX
Marchant Kenny,Marchant,Kenny,TX
Farenthold Blake,Farenthold,Blake,TX
Olson Pete,Olson,Pete,TX
Smith Lamar,Smith,Lamar,TX
Babin Brian,Babin,Brian,TX
Doggett Lloyd,Doggett,Lloyd,TX
Weber Randy,Weber,Randy,TX
O'Rourke Beto,O'Rourke,Beto,TX
Castro Joaquin,Castro,Joaquin,TX
Culberson John,Culberson,John,TX
Cuellar Henry,Cuellar,Henry,TX
Williams Roger,Williams,Roger,TX
Conaway K.,Conaway K.,undefined,TX
Veasey Marc,Veasey,Marc,TX
Vela Filemon,Vela,Filemon,TX
Neugebauer Randy,Neugebauer,Randy,TX
Hensarling Jeb,Hensarling,Jeb,TX
Carter John,Carter,John,TX
Sessions Pete,Sessions,Pete,TX
Burgess Michael,Burgess,Michael,TX
Thornberry Mac,Thornberry,Mac,TX
Brady Kevin,Brady,Kevin,TX
Hinojosa Rubén,Hinojosa Rubén,undefined,TX
Cruz Ted,Cruz,Ted,TX
Hatch Orrin,Hatch,Orrin,UT
Lee Mike,Lee,Mike,UT
Love Mia,Love,Mia,UT
Bishop Rob,Bishop,Rob,UT
Chaffetz Jason,Chaffetz,Jason,UT
Stewart Chris,Stewart,Chris,UT
Griffith H.,Griffith H.,undefined,VA
Kaine Timothy,Kaine,Timothy,VA
Forbes J.,Forbes J.,undefined,VA
Goodlatte Bob,Goodlatte,Bob,VA
Comstock Barbara,Comstock,Barbara,VA
Beyer Donald,Beyer,Donald,VA
Warner Mark,Warner,Mark,VA
Brat David,Brat,David,VA
Connolly Gerald,Connolly,Gerald,VA
Hurt Robert,Hurt,Robert,VA
Wittman Robert,Wittman,Robert,VA
Scott Robert,Scott,Robert,VA
Rigell Edward,Rigell,Edward,VA
Plaskett Stacey,Plaskett,Stacey,VI
Sanders Bernard,Sanders,Bernard,VT
Welch Peter,Welch,Peter,VT
Leahy Patrick,Leahy,Patrick,VT
Herrera Beutler Jaime,Herrera Beutler,Jaime,WA
Reichert David,Reichert,David,WA
McMorris Rodgers Cathy,McMorris Rodgers,Cathy,WA
Murray Patty,Murray,Patty,WA
McDermott Jim,McDermott,Jim,WA
Kilmer Derek,Kilmer,Derek,WA
Heck Denny,Heck,Denny,WA
Larsen Rick,Larsen,Rick,WA
Newhouse Dan,Newhouse,Dan,WA
Cantwell Maria,Cantwell,Maria,WA
DelBene Suzan,DelBene,Suzan,WA
Smith Adam,Smith,Adam,WA
Johnson Ron,Johnson,Ron,WI
Duffy Sean,Duffy,Sean,WI
Grothman Glenn,Grothman,Glenn,WI
Pocan Mark,Pocan,Mark,WI
Sensenbrenner F.,Sensenbrenner F.,undefined,WI
Baldwin Tammy,Baldwin,Tammy,WI
Kind Ron,Kind,Ron,WI
Ryan Paul,Ryan,Paul,WI
Ribble Reid,Ribble,Reid,WI
Moore Gwen,Moore,Gwen,WI
Jenkins Evan,Jenkins,Evan,WV
Manchin Joe,Manchin,Joe,WV
Capito Shelley,Capito,Shelley,WV
McKinley David,McKinley,David,WV
Mooney Alex,Mooney,Alex,WV
Lummis Cynthia,Lummis,Cynthia,WY
Barrasso John,Barrasso,John,WY
Enzi Michael,Enzi,Michael,WY
 undefined,,undefined,undefined
,,undefined,undefined
